Test Number, Trial Number, Item Index, Word Index, Condition, Correct Answer, Answer
1, 0, 2, 5, condition1, WED, WED
1, 1, 1, 5, condition1, BATH, BATH
1, 2, 3, 3, condition1, SHED, DECK
1, 3, 3, 0, condition1, BAT, BAT
1, 4, 1, 4, condition1, BANN, BANN
1, 5, 2, 3, condition1, RED, BED
1, 6, 1, 1, condition2, BAT, BAD
1, 7, 3, 5, condition1, JAWS, JAWS
1, 8, 2, 2, condition2, RED, RED
1, 9, 3, 3, condition1, DECK, DECK
1, 10, 1, 2, condition1, BACK, BACK
1, 11, 2, 0, condition1, LED, LED
1, 12, 3, 2, condition1, BOND, BOND
1, 13, 2, 4, condition1, FED, FED
1, 14, 1, 4, condition2, BANN, BANN
1, 15, 1, 0, condition1, BAT, BAT
1, 16, 2, 3, condition2, WED, BED
1, 17, 3, 5, condition1, JAWS, JAWS
2, 0, 1, 2, condition2, BACK, BACK
2, 1, 3, 1, condition1, SHED, SHED
2, 2, 2, 5, condition2, WED, WED
2, 3, 1, 0, condition2, BAD, BAT
2, 4, 3, 0, condition1, BAT, BAT
2, 5, 2, 0, condition2, LED, LED
2, 6, 3, 1, condition1, SHED, SHED
2, 7, 1, 3, condition1, BASS, BASS
2, 8, 2, 1, condition2, SHED, SHED
2, 9, 1, 3, condition2, BASS, BASS
2, 10, 3, 2, condition1, BOND, BOND
2, 11, 2, 4, condition2, FED, FED
2, 12, 1, 1, condition1, BAD, BAD
2, 13, 3, 4, condition1, HIT, HIT
2, 14, 2, 1, condition1, SHED, SHED
2, 15, 1, 5, condition2, BATH, BATH
2, 16, 2, 2, condition1, RED, RED
2, 17, 3, 4, condition1, HIT, HIT
